Crop,Disease Name,Disease Type,Affected Part,Severity,Notes
Rice,Rice Blast,Fungal,Leaves,High,Major yield loss in Nepal
Rice,Bacterial Leaf Blight,Bacterial,Leaves,High,Common in humid regions
Rice,Sheath Blight,Fungal,Stem,Medium,Dense planting risk
Maize,Maize Smut,Fungal,Ears,Medium,Common in hills
Maize,Leaf Blight,Fungal,Leaves,Medium,Affects yield
Maize,Downy Mildew,Fungal,Leaves,Medium,Moist conditions
Wheat,Rust (Yellow/Stem),Fungal,Leaves,High,Major wheat threat
Wheat,Leaf Blight,Fungal,Leaves,Medium,Warm regions
Wheat,Powdery Mildew,Fungal,Leaves,Medium,Cool climates
Millet,Millet Blast,Fungal,Leaves,Medium,Similar to rice blast
Millet,Smut,Fungal,Grains,Low,Less severe
Barley,Powdery Mildew,Fungal,Leaves,Medium,Common disease
Barley,Leaf Rust,Fungal,Leaves,Medium,Yield reduction
Barley,Barley Smut,Fungal,Grains,Low,Occasional
